With heuristic,20E 20A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,total,average
167,36,85,27,42,170,23,37,13,42,17,69,35,8,82,23,132,66,1,2,52,54,216,20,122,58,139,100,134,81,21,63,61,124,76,211,78,21,59,1,91,60,49,21,108,6,17,1,510,3,84,104,29,34,337,26,1,37,386,1,161,139,191,44,14,101,105,19,113,1,157,37,95,25,24,15,68,22,18,14,74,28,23,4,54,24,120,161,4,141,259,48,143,2,131,172,101,55,48,1,7629,76.29
Without heuristic,20E 20A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,61,107,1353,180,19,158,81,210,33,93,65,386,132,15,62,106,448,578,401,260,177,73,1015,16,111,629,24,17,255,75,31,647,244,541,45,897,989,31,6,13,334,284,11,236,541,183,145,731,126,359,112,177,412,337,126,604,1175,436,1662,279,629,506,324,347,182,246,379,257,151,68,54,41,88,672,154,273,140,15,196,302,687,49,74,459,272,66,89,192,292,48,17,35,62,225,210,125,455,72,147,27532,275.32
With, 12E 10A1 6E1 1L 1M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,25161,235,148,24,153,32,90,1450,21339,86,9,37454,7,20315,63,24,-1,140,139,-1,12,169,16,69,252,294,3458,2128,-1,66,81,308,21313,83,65,1011,194,50,13,279,-1,18426,-1,20704,74,28,144,8508,21433,69,92,-1,27,-1,7,80,103,48,127,-1,149,25,2,50,12,11,320,53,71,21923,44154,38,64,16,22,50,53,91,8,94,118,52,13,17,105,57,129,-1,22421,11090,20875,37,129,182,58,19621,63,29,59,348851,
Without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,83,386,159,125,69,302,134,186,631,195,6215,166,231,393,168,8263,-1,182,331,-1,72,761,333,235,6573,70,6853,1636,-1,262,87,197,6616,46,381,404,277,5,265,203,-1,486,-1,70,483,214,6403,128,7570,-1,46,-1,925,-1,130,871,513,53,310,1021,248,252,18,762,151,277,67,303,23,12275,18,182,391,482,256,15846,68,446,380,32,73,286,506,172,108,6605,6625,-1,129,173,318,72,148,583,108,6258,144,244,503,118240,
With, 20E 60A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1915,940,160,413,924,1133,580,134,623,68,1299,928,337,480,103,2,337,775,232,510,530,1085,142,135,510,179,1104,952,44,828,1128,146,398,1546,1222,1565,298,183,1687,1607,514,605,617,762,58,607,2109,483,946,40,58,63,464,582,1604,70,688,2239,1444,223,143,1288,3421,1006,252,465,1268,5,305,200,1034,770,4468,75,677,175,21,429,456,1080,1086,164,282,347,725,1229,309,144,920,1266,273,703,458,2563,3820,563,117,894,2971,2458,80188,
Without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
684,219,6507,1837,5062,3520,2708,207,7027,198,127,1223,2808,9177,1085,3405,2421,821,7354,623,614,3605,1536,4261,4291,2448,1866,567,5033,4612,3910,672,560,550,2945,2121,3581,4355,3217,1518,696,2206,2219,1641,4872,837,288,4397,8073,4782,5384,3309,4512,305,-1,788,4457,1393,347,21,55,1704,846,5890,112,2188,1549,596,824,1211,1095,2546,3789,1043,2888,640,3126,822,1502,344,8437,6543,386,1144,307,7057,41,106,2368,2746,431,1390,611,1681,3339,3432,1874,8637,6372,4079,253552,
With, 60E 20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,67,321,59,9,5,135,334,206,50,371,49,103,60,237,215,136,154,40,225,38,29,50,65,166,36,454,26,187,267,2,62,295,51,61,211,70,125,2,113,55,67,214,239,237,69,255,135,197,65,292,118,556,31,30,563,163,79,1,1,542,45,24,19,1,307,62,3,1,120,118,109,169,77,103,169,201,25,563,147,28,34,98,121,29,10,133,103,34,243,63,474,1,32,282,48,33,403,118,37,13584,
Without,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,269,79,506,702,747,886,129,528,564,157,165,103,311,278,982,160,108,600,1562,192,32,629,161,257,157,636,915,75,3,2,83,730,235,134,731,506,263,164,627,36,48,59,1195,386,501,519,89,80,1839,159,117,260,215,1829,201,360,343,2,1282,1193,25,604,903,1,1481,17,305,416,140,269,13,152,637,46,386,409,19,605,552,164,1184,154,472,174,354,422,150,37,203,136,60,2,178,249,514,460,118,547,686,39328,
With, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
